UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
1500,0,0,0,5126,74.27,0.16,3.17,0.16,0.07,0,95.68,61.06,3.31,0.17,0.18,0.16,63.47,-6.23,9.1518,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,0,0,0,1477,49.36,0.61,4.06,1.07,0,0,92.11,87.18,4.41,1.16,0.37,3.94,77.28,11.89,9.3054,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
855,0,0,0,1208,25.5,0.85,3.13,0.31,0.03,0,92.22,66.46,3.39,0.34,0.83,0.87,60.8,-13.09,6.8417,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100,0,0,0,1232,142.05,1.75,3.1,0.46,0.35,-0.01,95.7,74.33,3.24,0.48,0.01,1.75,55.15,8.52,10.7724,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
200,0,0,0,4834,45.16,0.16,4.31,0.2,0.15,0,95.39,58.59,4.52,0.21,1.44,0.16,84.19,8.82,11.3462,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
200,0,0,0,904,49.78,0.02,2.99,0.17,0,0,99.02,63.08,3.02,0.17,0.24,0.02,43.66,-33.37,12.2477,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
400,0,0,0,1238,22.62,0.67,3.48,0.24,0.08,0,97.84,60.38,3.55,0.24,0.84,0.67,64.11,5.25,14.2149,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
200,0,0,0,2016,39.68,0.6,3.8,0.35,-0.05,0,97.83,63.4,3.88,0.36,0.21,0.6,64.29,8.44,11.5945,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2100,0,0,0,14201,35.21,0.11,3.88,0.45,0,0,95.41,71.93,4.07,0.47,0.35,0.11,88.41,18.49,8.9874,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
22000,2254,2254,2254,32069,34.13,0.12,3.08,0.21,0,0,94.63,82.95,3.25,0.23,1.25,0.12,60.99,9.67,8.5767,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,786,0,0.08,3.38,0.48,0.03,0,97.48,76.28,3.47,0.49,0.38,0.08,93.32,8.46,8.9708,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,4,4,0,2140,60.79,0.13,3.65,0.3,0.01,-0.04,97.48,71.27,3.75,0.31,0.5,0.48,55.21,1.76,8.8662,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
300,0,0,0,2400,70,0.09,3.56,0.46,0.04,0,96.9,67.78,3.67,0.47,0.2,0.09,66.47,-1.15,10.2216,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3000,37973,37973,29521,8054,24.22,0.17,4.43,0.55,0.2,0,91.43,50.32,4.85,0.6,0.8,0.17,98.59,33.99,9.3529,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
500,0,0,0,275,0,0,3.66,0.31,0.02,0,95.18,71.62,3.85,0.32,1.31,0,81.05,-31.08,12.2277,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
600,0,0,0,1748,1.72,0.89,3.93,0.52,-1.16,0,100.46,59.58,3.91,0.52,0.11,0.89,78.68,-33.9,16.0191,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,-1478,0,0.54,3.34,0.47,-0.04,0,94.66,74.87,3.53,0.5,0.91,0.54,92.65,18.37,13.4635,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
180,0,0,0,703,34.57,0,2.97,0.34,0.03,0,97.14,70.11,3.05,0.35,0.1,0,58.43,1.48,8.4744,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
100,0,0,0,231,64.94,0.05,3.15,0.34,0.03,0,96.3,61.81,3.28,0.35,0,0.05,73.63,-9.57,14.1431,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
705,0,0,0,26726,64.76,2.84,4.1,0.52,0.04,0,93.34,69.3,4.39,0.55,1.46,3.4,91.57,11.26,12.531,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
95,210,210,210,1323,28.8,0.21,3.49,0.44,0.08,0,92.08,62.38,3.79,0.48,0.32,0.21,76.27,13.85,9.7702,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,0,0,0,2778,64.83,0.06,4.01,0.84,0,-0.13,100,69.08,4.01,0.84,0.49,0.06,91.62,31.97,11.115,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
200,0,0,0,1708,45.9,1.99,2.69,0.22,0,0,95.41,66.47,2.82,0.23,0.06,1.99,47.77,1.75,12.4677,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,10907,10907,10907,11894,25.22,0.25,3.69,0.34,0.05,0,93.77,66.51,3.94,0.37,0.28,0.32,90.74,5.02,12.927,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
120,0,0,0,1191,55.42,0.13,3.63,0.5,0,0,97.48,67.91,3.73,0.51,0.78,0.13,68.3,14.18,12.8955,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
922,0,0,0,2605,0,0,7.03,0.43,0.2,0,88.36,48.63,7.96,0.49,0.34,0,88.18,1.07,13.3578,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
16280,0,0,0,713,0,0.26,3.8,0.35,0.17,0,90.89,75.96,4.18,0.38,0.4,0.26,70.92,0.37,10.2528,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
